"collection_id","name","description","event","tier","series","winMethod","weightClass","athleteName","opponentName","editionSize","newMetadataIpfsHash","video","assetPreviewUri","additionalImages"
"0x3b636e7e45f02f786b074e6864e89fbe149a211fd7195ce6199bbd6c77adb089","CURTIS BLAYDES | UFC FIGHT NIGHT JAN 25, 2020","A punishing right cross from Curtis ""Razor"" Blaydes lands just before Junior dos Santos can finish an uppercut attempt, allowing Blaydes to go on the offensive against the fence and earn the TKO win in their main event tilt.","UFC Fight Night: Blaydes vs Dos Santos","Fandom","1","KO/TKO","Heavyweight","Curtis Blaydes","Junior dos Santos",881,"https://ufcstrike.mypinata.cloud/ipfs/bafkreiahizsxotakydjpi6pr4wu7hdjhf6atew74tucfvzhywiw2qru66m","https://ufcstrike.mypinata.cloud/ipfs/QmRMtT9wQMJWQs1aW2Mb7BLdAbGr2uEqFfRAQLXks6vj28","https://ufcstrike.mypinata.cloud/ipfs/QmYxV5xEME2DY3zLePF5QpaFMELsbYNNYUeMG2VLBfqV8P","{https://ufcstrike.mypinata.cloud/ipfs/QmdHMzSe5QQJ2W5sYKQbyu6qPSKRd7cTFo8nbNqk8AWvzE,https://ufcstrike.mypinata.cloud/ipfs/QmYxV5xEME2DY3zLePF5QpaFMELsbYNNYUeMG2VLBfqV8P,https://ufcstrike.mypinata.cloud/ipfs/QmZaQMzfForkRuTR2VHhsrVLrtjjGmzxz4HJEoKwqKvpQx,https://ufcstrike.mypinata.cloud/ipfs/QmRw4jssxHQmavbQxDxdxYXdsKoNmPoLAhCBCc2EXtAGqT,https://ufcstrike.mypinata.cloud/ipfs/QmSRqqJhnLKdA1KG2SXNnq6Y7hADngbPN17CYxSmgGbYMv}"
"0x644c73a1a8d002fc2ef7e71c598637668fc409c98bd8f527250db3a9f97e2e32","FRANCIS NGANNOU | UFC 218","Francis ""The Predator"" Ngannou lands one of the most devastating uppercuts in UFC history at UFC 218 vs Alistair Overeem, cementing himself as the #1 contender for heavyweight gold.","UFC 218","Champion","0","KO/TKO","Heavyweight","Francis Ngannou","Alistair Overeem",75,"https://ufcstrike.mypinata.cloud/ipfs/bafkreibhdqvbgcmscdw2di3fmxax33xf3cgdeirz7sbqpvg4mjmqm65vpq","https://ufcstrike.mypinata.cloud/ipfs/QmVHEhQbSXsaE9zNEB2mJijEKtBTK4i4KB8scM2azwKBbq","https://ufcstrike.mypinata.cloud/ipfs/QmRfGWYbZSe6YTW3VoVp4RgrRg8RDpQy6Hy3HGMCabFt9a","{https://ufcstrike.mypinata.cloud/ipfs/QmeGSyD3omB2giHVytdUzKZQneY2DAScno1LkgLNBoh6F1,https://ufcstrike.mypinata.cloud/ipfs/QmRfGWYbZSe6YTW3VoVp4RgrRg8RDpQy6Hy3HGMCabFt9a,https://ufcstrike.mypinata.cloud/ipfs/QmPx6asyPfs8mjvpRcQvvimmtjsQfeTqnd1s7e4JkEWSqe,https://ufcstrike.mypinata.cloud/ipfs/Qmf6buvQTG83V3QGgsKUuDDg41s8C3uyi1VFB5T5CKMYUV,https://ufcstrike.mypinata.cloud/ipfs/QmWo5LH2SdeinaZUJCQtDdqYWLudpWDkrYy53Pk1NQFv8a}"
"0xa377b41627285731e91a5613c6d38ee211c020603e74d0d699e934af893f4b03","GLOVER TEIXEIRA | UFC 267","Glover Teixiera submits Jan Blachowicz via rear naked choke to claim the UFC light heavyweight title in his sixth consecutive victory.","UFC 267","Champion","1","Submission","Light Heavyweight","Glover Teixeira","Jan Błachowicz",99,"https://ufcstrike.mypinata.cloud/ipfs/bafkreihcs32gkrj45s4znvwsjmz6kqbiachupeq6baaltcp5h3jiz7pmye","https://ufcstrike.mypinata.cloud/ipfs/Qmaf6PNy1dWK1NCLvUKR2g6aN7LtMbGakuXDLiiZ1jYAfJ","https://ufcstrike.mypinata.cloud/ipfs/QmSvYN4FdeuB8F5AtD21L5vfh1ttGC1TEJwxAqSCmRtwFn","{https://ufcstrike.mypinata.cloud/ipfs/QmPGznauxq1Q9b9JCUhmjniJRJFcMAnYyQsZxW6v4e5GzW,https://ufcstrike.mypinata.cloud/ipfs/QmSvYN4FdeuB8F5AtD21L5vfh1ttGC1TEJwxAqSCmRtwFn,https://ufcstrike.mypinata.cloud/ipfs/QmcZKENicYiPAtPJfLJZwx6PqrrYcDfd9MBKCzgkAwDKgp,https://ufcstrike.mypinata.cloud/ipfs/QmT35wS2jTnXFqCwbRk5Wzud8sCnvqdhQZ7JZ1dh4WaEF2,https://ufcstrike.mypinata.cloud/ipfs/QmXEuPZuKibrN1NdPQCUK8DM6UHBTGcqPo7k5UNFfe7rLD}"
"0x851bcda18b34574bddd6e3fa325d9395f2049ef0bdd8c05ce37a3cb04d2a9bd0","VALENTINA SHEVCHENKO | UFC 261","Valentina ""Bullet"" Shevchenko defends her flyweight title against Jessica Andrade by landing a series of elbows from the crucifix position at UFC 261.","UFC 261","Champion","0","KO/TKO","Flyweight","Valentina Shevchenko","Jessica Andrade",75,"https://ufcstrike.mypinata.cloud/ipfs/bafkreig37snetnsx4vzcsridvr5emque6in7p5fwm2ngehpzsvsvvq7ob4","https://ufcstrike.mypinata.cloud/ipfs/QmQeFTkqqzc7t3gjLGTphCqqwJvzTwBet6VHzpV9WDXqCn","https://ufcstrike.mypinata.cloud/ipfs/QmPuehEttqknmPtev2SYP6NGgv62xzxSeKe8NJ1N1hLnfn","{https://ufcstrike.mypinata.cloud/ipfs/QmVsxQe4VJm1AUXU5RnxQjVkowo1GWmExzYmmWxTCPkfpC,https://ufcstrike.mypinata.cloud/ipfs/QmPuehEttqknmPtev2SYP6NGgv62xzxSeKe8NJ1N1hLnfn,https://ufcstrike.mypinata.cloud/ipfs/QmNasXMJTB7xoqiAXpYq3jGut37d2YChvhnPoycAaQXwy3,https://ufcstrike.mypinata.cloud/ipfs/QmV8doNtvFGpaZoivs2NXVymb3vLE6R5oJYc7emZtKvX1H,https://ufcstrike.mypinata.cloud/ipfs/QmWQKJ9Lwee5AXayXfp18BuZRwhHDDdcfMnCWPAPd2cULH}"
"0x9e3a0d14baeccc6ad19656f175933680e7df5e6653de13cdbedcb7ece01368b5","LI JINGLIANG | UFC FIGHT NIGHT JAN 16, 2021","Li ""The Leech"" Jingliang earns the spectacular 1st round KO victory over Santiago Ponzinibbio finishing him with a lightning fast left hook.","UFC Fight Night: Holloway vs Kattar","Common","0","KO/TKO","Welterweight","Li Jingliang","Santiago Ponzinibbio",23970,"https://ufcstrike.mypinata.cloud/ipfs/bafkreiguvchsfng4w2ljdyhs6soepfj7b4shg6ulxezxeoxyl5zeu6hwuq","https://ufcstrike.mypinata.cloud/ipfs/QmWXr6Tcf466miG5iBCzxV4Dv2XQPMPN9DKpSDReR9xgwC","https://ufcstrike.mypinata.cloud/ipfs/QmcPxdssK5J61mWErVeLBoUsxMGM2pmqqN3QTi8Fbo1Qrz","{https://ufcstrike.mypinata.cloud/ipfs/QmfMoUjFHKtP2eJULFSutrA5wDen2AntkPDr7BRLtdDjHf,https://ufcstrike.mypinata.cloud/ipfs/QmcPxdssK5J61mWErVeLBoUsxMGM2pmqqN3QTi8Fbo1Qrz,https://ufcstrike.mypinata.cloud/ipfs/QmWGmfgzNN2xXdHA22jXoKb7yzqPmVKZfKKWcm3bBfkhqQ,https://ufcstrike.mypinata.cloud/ipfs/QmWdf8J4iaxK8y2MiZAdvPwBpWnLNyRbfMcvrN7bFPCM5g,https://ufcstrike.mypinata.cloud/ipfs/QmexpG9xmYHShRA7idEYLYCH2b7QXRPiRLnefbFZ75zLwg}"
"0x5060be7792f9d092f8574f9cafdb4fcdb5f643e8d167fe75afe92cd2967a7094","AMANDA NUNES | UFC 259","Amanda ""The Lioness"" Nunes defends her title to remain a two-weight world champion with a dominating first round submission of Megan Anderson at UFC 259.","UFC 259","Champion","0","Submission","Featherweight","Amanda Nunes","Megan Anderson",75,"https://ufcstrike.mypinata.cloud/ipfs/bafkreiemxq6jf7silruudxa47kpxmpeuxdpx6rdc6ounoyj3gkil7xakla","https://ufcstrike.mypinata.cloud/ipfs/QmfUNkA4Kg2hfm4JecuN7F2c9Z6gLknPpSCqszuNZjDwfJ","https://ufcstrike.mypinata.cloud/ipfs/QmetiLimMvsyRqd6YiZbTauvSgwHHGsWKHA6qatrkKd9k9","{https://ufcstrike.mypinata.cloud/ipfs/Qmawny1SB8g2mDMrLsEQBf36xmQCdbWNKPBwNWSf218BpJ,https://ufcstrike.mypinata.cloud/ipfs/QmetiLimMvsyRqd6YiZbTauvSgwHHGsWKHA6qatrkKd9k9,https://ufcstrike.mypinata.cloud/ipfs/QmYFiFhKAvbNZkC7RJd1qLfANPXTiYMBhUwUcKo8xzG4j6,https://ufcstrike.mypinata.cloud/ipfs/QmPQ9gU1huuoh7gCynPhYro6TJtyzeXDtRpfyPxAJWuvYV,https://ufcstrike.mypinata.cloud/ipfs/QmdfBPYKnVTzERmocPZSxT1j98qJJPVwJQMaX1iqvbCN1W}"
"0x3c892ed1ab6d6d64af03345945de4d09d244d9584a6a56b406625166daa8ebce","CIRYL GANE | UFC 265","Ciryl ""Bon Gamin"" Gane knocks down Derrick Lewis with a sharp right before finishing him with punches for the TKO victory at UFC 265, securing the interim heavyweight belt.","UFC 265","Champion","0","KO/TKO","Heavyweight","Ciryl Gane","Derrick Lewis",75,"https://ufcstrike.mypinata.cloud/ipfs/bafkreic4d24fhkc5zafj7o25huu4dga5hc65msesbxxpbzaqgjyhbliozy","https://ufcstrike.mypinata.cloud/ipfs/QmcWNi9FJWxfCwVviB2WHszeg7B41AJ15Y5U8gmGJkD8gN","https://ufcstrike.mypinata.cloud/ipfs/QmazCYNt1GHQzkRygnwErVayzimWDr5jjBX4jBixfBXPFu","{https://ufcstrike.mypinata.cloud/ipfs/QmVUofCmworRq1vWvUUtxWUG4UouAszVvUeRPZWRYbrVJk,https://ufcstrike.mypinata.cloud/ipfs/QmazCYNt1GHQzkRygnwErVayzimWDr5jjBX4jBixfBXPFu,https://ufcstrike.mypinata.cloud/ipfs/QmeXmVrQJqyc9KLhPpMEH9sJeNXgNLtQhgtDu2C7ceHNQH,https://ufcstrike.mypinata.cloud/ipfs/QmQPZqN6QfqJw6torWrZ6QWaGF9oHgrKusLZk9Xqfd27pb,https://ufcstrike.mypinata.cloud/ipfs/Qmf44SvwfhB1YV3UbgjS2ybXqi5qpa8j1tmB2dA32pzTQm}"
"0x591a7b10923393ec1f4c71e343137d4def20ee7e15eb1ad160de12dd5ae2e2de","ALEXANDER VOLKANOVSKI | UFC 266","Alexander ""The Great"" Volkanovski escapes a mounted guillotine submission attempt from Brian Ortega and rallies to retain the featherweight title at UFC 266.","UFC 266","Champion","0","Decision","Featherweight","Alexander Volkanovski","Brian Ortega",75,"https://ufcstrike.mypinata.cloud/ipfs/bafkreid543pffnpncgn7jchakbyjhqzqawhagxycmnf6wty326mmqa6hlm","https://ufcstrike.mypinata.cloud/ipfs/QmRu5pJcgwvUazZNgftifaPQLX35BRPHeTrxnvhedBczm2","https://ufcstrike.mypinata.cloud/ipfs/Qmc4ddyrq1TXUZxu6nMjGppTHDSfMUnCMAZmLByRPzUY1m","{https://ufcstrike.mypinata.cloud/ipfs/QmbaARHDkRYNZzcrtd73AhUiafy5bM1jAdpoEhAoDPkaX3,https://ufcstrike.mypinata.cloud/ipfs/Qmc4ddyrq1TXUZxu6nMjGppTHDSfMUnCMAZmLByRPzUY1m,https://ufcstrike.mypinata.cloud/ipfs/QmWZpn5TPfbjBFv2Dg1sThTRFeBugDGmU15LE3XimummbY,https://ufcstrike.mypinata.cloud/ipfs/QmXHBbm1BPQZx1fudHpuLYhfD61pgSc15c16FZoFgsMtMX,https://ufcstrike.mypinata.cloud/ipfs/QmbNTjCjpDSzDTK5E5psNPkRdc9HeDxXYvN2Ly5KjySLm1}"
"0x7cd5078e44dae1d75e36b9aba192846530a390a9c4d7ccb34d88bd9f37ef69d5","VIVIANE ARAUJO | UFC 237","Taking the fight on short notice and moving up a weight class, Viviane ""Vivi"" Araujo made her UFC debut against Talita Bernardo at UFC 237. Unfazed by the challenge, Araujo delivered a statement performance capped by a highlight-reel knockout in the third round to announce her arrival on the big stage.","UFC 237","Uncommon","2","KO/TKO","Bantamweight","Viviane Araujo","Talita Bernardo",1000,"https://ufcstrike.mypinata.cloud/ipfs/bafkreifyzanenvgvogwlrxsd32ur6byirutilpafeuxc5d5oiyy7nclvqy","https://ufcstrike.mypinata.cloud/ipfs/QmcVWBECZKXjyGSuqiMxpfkDD6asrtKqVgpUHYn81SMDjG","https://ufcstrike.mypinata.cloud/ipfs/QmR789HbcR95HMXRR7bk1oV9VXNmN4TXF7Rf1bqi1Nd1Jp","{https://ufcstrike.mypinata.cloud/ipfs/QmUoZ7D1p81Ln3SCeCx37tGghB6Q4gwz3Qz2rbcmJWD3cA,https://ufcstrike.mypinata.cloud/ipfs/QmR789HbcR95HMXRR7bk1oV9VXNmN4TXF7Rf1bqi1Nd1Jp,https://ufcstrike.mypinata.cloud/ipfs/QmYDLSpBaHxXXwG8ToVcsRp7tDR74rL3SKBQ2ZngWxDgVJ,https://ufcstrike.mypinata.cloud/ipfs/QmUqFLxxk5xHNx2dThu7yPnNQni23bstc28bShMk1ti6Qp,https://ufcstrike.mypinata.cloud/ipfs/Qmcn3xVqbcy2DRaCg43aGRvYCnLn97SKEERQkK6ghzD5YT}"
"0x9a2c5ffefa4e3feb515a98a07347f438a19fa628dd9713439915b1ba145d10c9","KAMARU USMAN | UFC 258","Kamaru ""The Nigerian Nightmare"" Usman fights his former teammate, Gilbert Burns, and wins via a series of strikes to retain his belt at UFC 258 in Las Vegas. With the TKO finish, Usman surpassed Georges St-Pierre's record for most consecutive UFC welterweight victories.","UFC 258","Champion","0","KO/TKO","Welterweight","Kamaru Usman","Gilbert Burns",75,"https://ufcstrike.mypinata.cloud/ipfs/bafkreicwiwasamxo3i4rhyfl4dddf2lhsbbuwc7aewswib3j2vi7kiogtm","https://ufcstrike.mypinata.cloud/ipfs/QmXTCoLSC7AuVgjRwrNm5fmaEDZrprm9LKqmk1dMUL17EV","https://ufcstrike.mypinata.cloud/ipfs/QmVvHU2WZa62MatVcS3fLCYQnRStJnRjezBbubake5np9N","{https://ufcstrike.mypinata.cloud/ipfs/QmWaFeXodwS7RxcxyUx8v4GUZDdcuBQCytu1gT3j4iBfRF,https://ufcstrike.mypinata.cloud/ipfs/QmVvHU2WZa62MatVcS3fLCYQnRStJnRjezBbubake5np9N,https://ufcstrike.mypinata.cloud/ipfs/QmVsiLZCcBL3nJ4HfifngXUWw3W9MJx3G5vQpK1LmfN4g2,https://ufcstrike.mypinata.cloud/ipfs/QmdYEfayU7LzZL6cs4yJpvzMJWy84tZjAyL4vdR4ERqQ7D,https://ufcstrike.mypinata.cloud/ipfs/QmVfbtRgGitvMHn1QtDEyspx8vawMHmiGQdNxev2UwMY29}"
